scope_of_practice,work_setting,employment_type,is_this_their_current_practice,employer_postcode,organisation_name,organisation_country
Direct clinical care or management – mental health nursing,Private domestic setting,Employed via an agency,FALSE,testpostcode1,Test organisation 2,Scotland
Commissioning,GP practice or other primary care,Volunteering,FALSE,testpostcode1,Test organisation 2,Scotland
Direct clinical care or management – children’s and neo-natal nursing,"Community setting, including district nursing and community psychiatric nursing",Volunteering,FALSE,testpostcode2,Test organisation 1,Scotland
Direct clinical care or management – adult and general care nursing,Policy organisation,Employed via an agency,FALSE,testpostcode2,Test organisation 2,England
Policy,Prison,Self employed,TRUE,testpostcode1,Test organisation 2,England
Direct clinical care or management – occupational health,GP practice or other primary care,Volunteering,TRUE,testpostcode1,Test organisation 2,England
Direct clinical care or management – health visiting,Hospital or other secondary care,Employed directly (not via UK agency),FALSE,testpostcode2,Test organisation 1,England
Direct clinical care or management – learning disabilities nursing,University or other research facility,Volunteering,TRUE,testpostcode2,Test organisation 1,Outside UK
Education,Ambulance service,Employed directly (not via UK agency),FALSE,testpostcode2,Test organisation 1,Wales
Other,Voluntary or charity sector,Employed via an agency,TRUE,testpostcode2,Test organisation 2,Scotland
Direct clinical care or management – public health,Care home sector,Employed via an agency,TRUE,testpostcode1,Test organisation 2,England
Direct clinical care or management – public health,Trade union or professional body,Employed via an agency,TRUE,testpostcode2,Test organisation 1,Northern Ireland
Policy,Private domestic setting,Employed via an agency,TRUE,testpostcode2,Test organisation 1,Scotland
Education,Military,Self employed,FALSE,testpostcode2,Test organisation 2,Wales
Direct clinical care or management – adult and general care nursing,Police,Volunteering,FALSE,testpostcode2,Test organisation 1,England
Direct clinical care or management – school nursing,Insurance or legal,Self employed,FALSE,testpostcode1,Test organisation 2,Northern Ireland
Direct clinical care or management – health visiting,Care home sector,Employed directly (not via UK agency),FALSE,testpostcode2,Test organisation 1,England
Direct clinical care or management – occupational health,Other,Self employed,FALSE,testpostcode1,Test organisation 2,Outside UK
Direct clinical care or management – occupational health,Other,Employed directly (not via UK agency),FALSE,testpostcode1,Test organisation 1,Scotland
Commissioning,Other,Employed via an agency,FALSE,testpostcode1,Test organisation 1,Wales
Direct clinical care or management – school nursing,School,Employed directly (not via UK agency),TRUE,testpostcode1,Test organisation 1,Wales
Direct clinical care or management – occupational health,Other,Volunteering,TRUE,testpostcode1,Test organisation 2,Scotland
Direct clinical care or management – mental health nursing,Police,Employed via an agency,TRUE,testpostcode1,Test organisation 2,Wales
Direct clinical care or management – adult and general care nursing,Other,Employed directly (not via UK agency),TRUE,testpostcode2,Test organisation 1,Northern Ireland
Direct clinical care or management – other,Inspectorate or regulator,Self employed,FALSE,testpostcode1,Test organisation 1,Northern Ireland
Education,Maternity unit or birth centre,Self employed,TRUE,testpostcode2,Test organisation 2,Outside UK
Direct clinical care or management – children’s and neo-natal nursing,Policy organisation,Volunteering,FALSE,testpostcode2,Test organisation 2,England
Direct clinical care or management – public health,Policy organisation,Employed directly (not via UK agency),FALSE,testpostcode1,Test organisation 2,England
Commissioning,Hospital or other secondary care,Employed directly (not via UK agency),FALSE,testpostcode2,Test organisation 1,Scotland
Direct clinical care or management – public health,Voluntary or charity sector,Employed directly (not via UK agency),TRUE,testpostcode2,Test organisation 2,Wales
Direct clinical care or management – occupational health,Public health organisation,Employed via an agency,FALSE,testpostcode2,Test organisation 1,England
Direct clinical care or management – midwifery,Policy organisation,Self employed,TRUE,testpostcode2,Test organisation 2,England
Direct clinical care or management – other,University or other research facility,Volunteering,TRUE,testpostcode2,Test organisation 1,England
Commissioning,Occupational health,Self employed,TRUE,testpostcode2,Test organisation 1,Wales
Quality assurance or inspection,Ambulance service,Volunteering,TRUE,testpostcode1,Test organisation 1,England
Policy,GP practice or other primary care,Employed via an agency,TRUE,testpostcode2,Test organisation 1,Northern Ireland
Education,Governing body or other leadership,Employed directly (not via UK agency),FALSE,testpostcode2,Test organisation 1,Outside UK
Direct clinical care or management – midwifery,Specialist or other tertiary care including hospice,Employed directly (not via UK agency),TRUE,testpostcode2,Test organisation 1,Wales
Direct clinical care or management – health visiting,Occupational health,Self employed,FALSE,testpostcode1,Test organisation 1,Wales
Direct clinical care or management – learning disabilities nursing,Public health organisation,Self employed,TRUE,testpostcode2,Test organisation 1,Northern Ireland
Research,Public health organisation,Employed directly (not via UK agency),TRUE,testpostcode2,Test organisation 2,Wales
Quality assurance or inspection,GP practice or other primary care,Self employed,FALSE,testpostcode2,Test organisation 1,Northern Ireland
Direct clinical care or management – children’s and neo-natal nursing,Military,Volunteering,FALSE,testpostcode1,Test organisation 1,Outside UK
Policy,Consultancy,Self employed,TRUE,testpostcode1,Test organisation 1,Northern Ireland
Commissioning,Public health organisation,Self employed,TRUE,testpostcode1,Test organisation 2,Outside UK
Direct clinical care or management – public health,Other,Self employed,TRUE,testpostcode1,Test organisation 2,Wales
Research,Public health organisation,Employed via an agency,FALSE,testpostcode2,Test organisation 1,Wales
Commissioning,Military,Volunteering,FALSE,testpostcode1,Test organisation 1,Wales
Commissioning,Public health organisation,Self employed,FALSE,testpostcode1,Test organisation 2,England
Direct clinical care or management – health visiting,Consultancy,Employed directly (not via UK agency),FALSE,testpostcode2,Test organisation 1,Scotland
Research,Ambulance service,Employed via an agency,FALSE,testpostcode2,Test organisation 2,England
Direct clinical care or management – mental health nursing,Ambulance service,Employed directly (not via UK agency),TRUE,testpostcode1,Test organisation 1,Scotland
Quality assurance or inspection,Prison,Self employed,TRUE,testpostcode1,Test organisation 1,Scotland
Direct clinical care or management – school nursing,Other,Employed via an agency,TRUE,testpostcode1,Test organisation 2,Outside UK
Commissioning,Cosmetic or aesthetic sector,Volunteering,TRUE,testpostcode2,Test organisation 1,England
Direct clinical care or management – midwifery,GP practice or other primary care,Volunteering,FALSE,testpostcode1,Test organisation 2,England
Direct clinical care or management – school nursing,Maternity unit or birth centre,Employed via an agency,TRUE,testpostcode2,Test organisation 1,Wales
Direct clinical care or management – occupational health,Telephone or e-health advice,Employed via an agency,FALSE,testpostcode1,Test organisation 1,Wales
Policy,Public health organisation,Employed via an agency,FALSE,testpostcode2,Test organisation 2,Scotland
Direct clinical care or management – health visiting,Care home sector,Employed directly (not via UK agency),FALSE,testpostcode2,Test organisation 1,England
Direct clinical care or management – other,School,Self employed,TRUE,testpostcode2,Test organisation 1,Northern Ireland
Direct clinical care or management – health visiting,Governing body or other leadership,Self employed,TRUE,testpostcode2,Test organisation 1,England
Research,Consultancy,Self employed,FALSE,testpostcode2,Test organisation 1,Northern Ireland
Education,"Community setting, including district nursing and community psychiatric nursing",Volunteering,FALSE,testpostcode1,Test organisation 1,Wales
Quality assurance or inspection,"Community setting, including district nursing and community psychiatric nursing",Self employed,TRUE,testpostcode1,Test organisation 1,Wales
Quality assurance or inspection,Hospital or other secondary care,Volunteering,TRUE,testpostcode1,Test organisation 2,Wales
Commissioning,Consultancy,Employed directly (not via UK agency),TRUE,testpostcode2,Test organisation 2,Scotland
